timestamp,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,is_fraud,fraud_probability,drift_factor
2026-07-29T09:48:20.140741,DEBIT,48281.69,33748.44,0,110191.18,49419.71,False,0.0,0.0
2026-07-29T09:48:22.249524,TRANSFER,1098.86,10406.22,9307.35,11305.4,4924090.98,False,0.0,0.0
2026-07-29T09:48:24.368175,TRANSFER,662.71,53788.75,53126.04,5708.43,36982.09,False,0.0,0.0
2026-07-29T09:48:26.484308,DEBIT,6592.18,26851.21,20259.03,2746.72,6989.37,False,0.0,0.0
2026-07-29T09:48:28.587434,PAYMENT,14211.78,643329.06,629117.28,9463.03,35229.55,False,0.0,0.0
2026-07-29T09:48:30.694564,PAYMENT,26388.56,89623.51,63234.95,70901.6,29732.02,False,0.0,0.0
2026-07-29T09:48:32.813250,PAYMENT,44008.41,255201.83,211193.42,4472.24,44832.54,False,0.0,0.0
2026-07-29T09:48:34.919954,CASH_IN,6954.4,40816.0,33861.59,9803.54,9561.04,False,0.0,0.0
2026-07-29T09:48:37.058954,TRANSFER,14325.43,6459.51,0,3215.07,63001.75,False,0.0,0.0
2026-07-29T09:48:39.162900,DEBIT,2437.2,519.63,0,4850.49,3161.15,False,0.0,0.0
2026-07-29T09:48:41.290993,CASH_OUT,19385.83,38865.4,19479.57,15083.46,20793.03,False,0.0,0.0
2026-07-29T09:48:43.397831,CASH_OUT,40040.42,5528.16,0,12229.96,89919.41,False,0.0,0.0
2026-07-29T09:48:45.517726,DEBIT,746.41,290945.0,290198.59,8543.08,2405741.73,False,0.0,0.0
2026-07-29T09:48:47.619875,CASH_IN,7686.85,1693.81,0,53964.03,14236.6,False,0.0,0.0
2026-07-29T09:48:49.743247,CASH_OUT,1394.24,33244.72,31850.47,11576.15,2623.89,False,0.0,0.0
2026-07-29T09:48:51.862264,DEBIT,676.46,5064.46,4388.0,2573.48,733.15,False,0.0,0.0
2026-07-29T09:48:53.962454,TRANSFER,68789.78,199908.77,131118.98,938541.1,83542.39,False,0.0001,0.0
2026-07-29T09:48:56.056669,CASH_OUT,229068.86,2593797.72,2364728.86,43462.98,232587.67,False,0.0,0.0
2026-07-29T09:48:58.185124,CASH_IN,118.12,9156.58,9038.46,152.72,12124.69,False,0.0,0.0
2026-07-29T09:49:00.283555,CASH_IN,874.18,1463.75,589.57,8799.35,58257.65,False,0.0,0.0
2026-07-29T09:49:02.383679,TRANSFER,35655.34,636.65,0,82367.45,37966.59,False,0.0,0.0
2026-07-29T09:49:04.489060,PAYMENT,1280.32,679.86,0,3820.21,2793.02,False,0.0,0.0
2026-07-29T09:49:06.617227,CASH_OUT,40054.59,40337.7,283.12,968.62,49734.84,False,0.0,0.0
2026-07-29T09:49:08.730902,CASH_OUT,2357.24,898589.37,896232.12,5327.81,2756.3,False,0.0,0.0
2026-07-29T09:49:10.866142,TRANSFER,11588.2,66367.11,54778.91,64978.61,12475.42,False,0.0,0.0
2026-07-29T09:49:12.981998,CASH_OUT,75608.54,6596.73,0,1821.12,79271.61,False,0.0,0.0
2026-07-29T09:49:15.102410,TRANSFER,12559.29,76650.02,64090.73,3453.34,68530.23,False,0.0,0.0
2026-07-29T09:49:17.212075,TRANSFER,3274.26,753685.2,750410.94,3906.83,303672.94,False,0.0,0.0
